order_status,order_approved_at,review_score,count_payment_installments,customer_state,product_category_name,product_photos_qty,seller_state,total_value,count
delivered,2017-12-26,,5,RJ,cama_mesa_banho,1,SP,63.09,1
shipped,2018-03-12,,4,RJ,cama_mesa_banho,1,SC,112.45,1
delivered,2018-04-24,5,4,RJ,utilidades_domesticas,1,SP,105.77,1
delivered,2017-11-24,,1,SC,relogios_presentes,3,SP,54.099999999999994,2
delivered,2018-05-10,4,8,SP,perfumaria,1,SC,401.53,1
delivered,2017-10-11,,3,SP,perfumaria,1,SP,114.91,1
canceled,2017-09-26,1,1,RJ,consoles_games,2,MG,520.75,1
delivered,2018-01-22,,1,SP,perfumaria,2,SP,68.89,1
delivered,2017-10-28,5,1,MG,ferramentas_jardim,2,SP,77.57000000000001,1
delivered,2018-05-09,,5,MG,instrumentos_musicais,4,SP,80.73,1
delivered,2018-01-06,5,1,MG,informatica_acessorios,2,SP,33.1,1
delivered,2017-05-22,,8,PR,brinquedos,2,RJ,247.85,1
delivered,2018-08-18,4,1,SP,cool_stuff,1,SP,65.04,1
delivered,2018-08-24,5,3,SP,beleza_saude,1,SP,188.41,1
delivered,2018-04-10,,3,SP,papelaria,1,SP,186.0,1
delivered,2018-02-27,3,2,SP,eletronicos,1,DF,36.68,1
delivered,2017-12-02,5,1,BA,informatica_acessorios,1,SP,49.8,1
delivered,2017-11-24,,6,PA,ferramentas_jardim,2,SP,155.64,1
delivered,2018-02-03,,4,SP,tablets_impressao_imagem,1,SP,63.62,1
delivered,2017-04-04,,3,SP,moveis_decoracao,2,SP,116.75,1
delivered,2018-04-28,,2,PR,beleza_saude,3,SP,56.13,1
delivered,2018-07-24,,5,SP,construcao_ferramentas_construcao,1,SP,279.95,1
delivered,2017-11-25,1,1,RS,audio,2,SP,30.0,1
delivered,2018-02-11,1,4,RJ,informatica_acessorios,2,PR,119.93,1
delivered,2018-06-21,5,1,SC,beleza_saude,1,SP,126.19,1
delivered,2017-09-26,,10,SP,bebes,1,SP,187.7,1
